#HMM_family	HMM_len	Query_ID	Query_len	E-value	HMM_start	HMM_end	Query_start	Query_end	Coverage
GH71	375	FUN_002249-T1	457	1.6e-70	18	373	61	431	0.946667
GH7	415	FUN_002252-T1	459	1.5e-138	0	414	23	393	0.997590
AA6	195	FUN_002280-T1	201	8.6e-85	0	192	3	198	0.984615
GT90	250	FUN_002289-T1	937	1.3e-41	10	248	635	911	0.952000
GT1	382	FUN_002312-T1	1116	5e-46	177	368	261	483	0.500000
PL20	229	FUN_007004-T1	258	5.3e-116	0	228	23	257	0.995633
GH15	361	FUN_007007-T1	659	1.5e-78	16	360	89	490	0.952909
CBM20	90	FUN_007007-T1	659	1.7e-26	0	85	556	644	0.944444
AA1_2	337	FUN_007076-T1	631	5.6e-154	1	336	40	376	0.994065
AA1	358	FUN_007076-T1	631	2.1e-108	6	357	38	487	0.980447
AA1_3	312	FUN_007076-T1	631	5.9e-65	10	297	18	303	0.919872
AA1_1	303	FUN_007076-T1	631	1.4e-64	1	297	33	326	0.976898
CE5	189	FUN_007186-T1	299	2.7e-47	3	188	27	222	0.978836
GT2_Glycos_transf_2	170	FUN_007250-T1	243	9.9e-37	0	169	11	181	0.994118
GH92	491	FUN_007279-T1	753	5.8e-164	2	490	211	731	0.993890
GH79	455	FUN_007283-T1	488	3.4e-61	1	425	22	452	0.931868
GH16_3	230	FUN_007292-T1	310	5.8e-39	0	214	51	269	0.930435
GH16	189	FUN_007292-T1	310	3.5e-28	11	176	63	271	0.873016
GH16_5	238	FUN_007292-T1	310	3.4e-20	12	219	65	266	0.869748
GH55	740	FUN_007293-T1	764	2.8e-162	7	714	31	733	0.955405
PL7_4	214	FUN_007297-T1	248	4.2e-88	0	214	28	248	1.000000
PL7	231	FUN_007297-T1	248	3.9e-45	0	231	28	248	1.000000
PL7_1	219	FUN_007297-T1	248	2.8e-23	1	219	29	248	0.995434
PL7_3	214	FUN_007297-T1	248	1.1e-20	0	193	29	235	0.901869
CE4	130	FUN_007305-T1	260	7.6e-19	29	127	1	100	0.753846
GH5_15	300	FUN_007307-T1	429	2.2e-128	2	299	97	400	0.990000
